rate_date,from_currency,to_currency,exchange_rate,rate_source
2026-02-17,XOF,GNF,14.659556,INTERNAL_QUOTE
2026-02-18,XOF,USD,0.001678,BCEAO
2026-02-18,GNF,USD,0.000120,BCRG
2026-02-18,XOF,GNF,14.030504,INTERNAL_QUOTE
2026-02-19,XOF,USD,0.001641,BCEAO
2026-02-19,GNF,USD,0.000119,BCRG
2026-02-19,XOF,GNF,14.244531,INTERNAL_QUOTE
2026-02-20,XOF,USD,0.001620,BCEAO
2026-02-20,GNF,USD,0.000111,BCRG
2026-02-20,XOF,GNF,13.830634,INTERNAL_QUOTE
2026-02-21,XOF,USD,0.001689,BCEAO
2026-02-21,GNF,USD,0.000112,BCRG
2026-02-21,XOF,GNF,14.071518,INTERNAL_QUOTE
2026-02-22,XOF,USD,0.001635,BCEAO
2026-02-22,GNF,USD,0.000119,BCRG
2026-02-22,XOF,GNF,13.750290,INTERNAL_QUOTE
2026-02-23,XOF,USD,0.001651,BCEAO
2026-02-23,GNF,USD,0.000114,BCRG
2026-02-23,XOF,GNF,14.028172,INTERNAL_QUOTE
2026-02-24,XOF,USD,0.001633,BCEAO
2026-02-24,GNF,USD,0.000112,BCRG
2026-02-24,XOF,GNF,14.673282,INTERNAL_QUOTE
2026-02-25,XOF,USD,0.001657,BCEAO
2026-02-25,GNF,USD,0.000119,BCRG
2026-02-25,XOF,GNF,13.878391,INTERNAL_QUOTE
2026-02-26,XOF,USD,0.001652,BCEAO
2026-02-26,GNF,USD,0.000115,BCRG
2026-02-26,XOF,GNF,14.060919,INTERNAL_QUOTE
2026-02-27,XOF,USD,0.001660,BCEAO
2026-02-27,GNF,USD,0.000118,BCRG
2026-02-27,XOF,GNF,13.794008,INTERNAL_QUOTE
2026-02-28,XOF,USD,0.001640,BCEAO
2026-02-28,GNF,USD,0.000113,BCRG
2026-02-28,XOF,GNF,14.645955,INTERNAL_QUOTE
2026-03-01,XOF,USD,0.001605,BCEAO
2026-03-01,GNF,USD,0.000116,BCRG
2026-03-01,XOF,GNF,14.563480,INTERNAL_QUOTE
2026-03-02,XOF,USD,0.001645,BCEAO
2026-03-02,GNF,USD,0.000119,BCRG
2026-03-02,XOF,GNF,13.913029,INTERNAL_QUOTE
2026-03-03,XOF,USD,0.001671,BCEAO
2026-03-03,GNF,USD,0.000120,BCRG
2026-03-03,XOF,GNF,13.853640,INTERNAL_QUOTE
2026-03-04,XOF,USD,0.001653,BCEAO
2026-03-04,GNF,USD,0.000119,BCRG
2026-03-04,XOF,GNF,14.241353,INTERNAL_QUOTE
2026-03-05,XOF,USD,0.001696,BCEAO
2026-03-05,GNF,USD,0.000113,BCRG
2026-03-05,XOF,GNF,14.568875,INTERNAL_QUOTE
2026-03-06,XOF,USD,0.001639,BCEAO
2026-03-06,GNF,USD,0.000115,BCRG
2026-03-06,XOF,GNF,14.138587,INTERNAL_QUOTE
2026-03-07,XOF,USD,0.001608,BCEAO
2026-03-07,GNF,USD,0.000114,BCRG
2026-03-07,XOF,GNF,14.068566,INTERNAL_QUOTE
2026-03-08,XOF,USD,0.001626,BCEAO
2026-03-08,GNF,USD,0.000116,BCRG
2026-03-08,XOF,GNF,14.504748,INTERNAL_QUOTE
2026-03-09,XOF,USD,0.001642,BCEAO
2026-03-09,GNF,USD,0.000116,BCRG
2026-03-09,XOF,GNF,14.050289,INTERNAL_QUOTE
2026-03-10,XOF,USD,0.001648,BCEAO
2026-03-10,GNF,USD,0.000112,BCRG
2026-03-10,XOF,GNF,14.521102,INTERNAL_QUOTE
2026-03-11,XOF,USD,0.001680,BCEAO
2026-03-11,GNF,USD,0.000119,BCRG
2026-03-11,XOF,GNF,14.572370,INTERNAL_QUOTE
2026-03-12,XOF,USD,0.001623,BCEAO
2026-03-12,GNF,USD,0.000121,BCRG
2026-03-12,XOF,GNF,14.603121,INTERNAL_QUOTE
2026-03-13,XOF,USD,0.001665,BCEAO
2026-03-13,GNF,USD,0.000115,BCRG
2026-03-13,XOF,GNF,14.507814,INTERNAL_QUOTE
2026-03-14,XOF,USD,0.001685,BCEAO
2026-03-14,GNF,USD,0.000118,BCRG
2026-03-14,XOF,GNF,14.685699,INTERNAL_QUOTE
2026-03-15,XOF,USD,0.001635,BCEAO
2026-03-15,GNF,USD,0.000113,BCRG
2026-03-15,XOF,GNF,14.286503,INTERNAL_QUOTE
2026-03-16,XOF,USD,0.001657,BCEAO
2026-03-16,GNF,USD,0.000116,BCRG
2026-03-16,XOF,GNF,13.834194,INTERNAL_QUOTE
2026-03-17,XOF,USD,0.001672,BCEAO
2026-03-17,GNF,USD,0.000117,BCRG
2026-03-17,XOF,GNF,14.292542,INTERNAL_QUOTE
2026-03-18,XOF,USD,0.001621,BCEAO
2026-03-18,GNF,USD,0.000114,BCRG
2026-03-18,XOF,GNF,13.992601,INTERNAL_QUOTE
2026-03-19,XOF,USD,0.001656,BCEAO
2026-03-19,GNF,USD,0.000112,BCRG
2026-03-19,XOF,GNF,13.988213,INTERNAL_QUOTE
2026-03-20,XOF,USD,0.001695,BCEAO
2026-03-20,GNF,USD,0.000113,BCRG
2026-03-20,XOF,GNF,14.409047,INTERNAL_QUOTE
2026-03-21,XOF,USD,0.001676,BCEAO
2026-03-21,GNF,USD,0.000118,BCRG
2026-03-21,XOF,GNF,13.909995,INTERNAL_QUOTE
2026-03-22,XOF,USD,0.001663,BCEAO
2026-03-22,GNF,USD,0.000116,BCRG
2026-03-22,XOF,GNF,14.001286,INTERNAL_QUOTE
2026-03-23,XOF,USD,0.001684,BCEAO
2026-03-23,GNF,USD,0.000114,BCRG
2026-03-23,XOF,GNF,14.039102,INTERNAL_QUOTE
2026-03-24,XOF,USD,0.001626,BCEAO
2026-03-24,GNF,USD,0.000112,BCRG
2026-03-24,XOF,GNF,14.136142,INTERNAL_QUOTE
2026-03-25,XOF,USD,0.001690,BCEAO
2026-03-25,GNF,USD,0.000119,BCRG
2026-03-25,XOF,GNF,14.139028,INTERNAL_QUOTE
2026-03-26,XOF,USD,0.001602,BCEAO
2026-03-26,GNF,USD,0.000112,BCRG
2026-03-26,XOF,GNF,13.747478,INTERNAL_QUOTE
2026-03-27,XOF,USD,0.001612,BCEAO
2026-03-27,GNF,USD,0.000118,BCRG
2026-03-27,XOF,GNF,14.300981,INTERNAL_QUOTE
2026-03-28,XOF,USD,0.001694,BCEAO
2026-03-28,GNF,USD,0.000115,BCRG
2026-03-28,XOF,GNF,14.504257,INTERNAL_QUOTE
2026-03-29,XOF,USD,0.001661,BCEAO
2026-03-29,GNF,USD,0.000118,BCRG
2026-03-29,XOF,GNF,14.339645,INTERNAL_QUOTE
2026-03-30,XOF,USD,0.001692,BCEAO
2026-03-30,GNF,USD,0.000114,BCRG
2026-03-30,XOF,GNF,13.940136,INTERNAL_QUOTE
2026-03-31,XOF,USD,0.001646,BCEAO
2026-03-31,GNF,USD,0.000121,BCRG
2026-03-31,XOF,GNF,14.602903,INTERNAL_QUOTE
