agent_id,agent_name,agent_type,operator_code,country_code,region,city,latitude,longitude,onboarding_date,agent_status,commission_tier
AGT-00100029,Cash Point Hann,SUB_AGENT,WAVE,GIN,Nzérékoré,Nzérékoré,9.305557,-14.212905,2023-06-07,ACTIVE,T1
AGT-00100030,Kiosque Cambérène,MERCHANT,MOOV,GIN,Boké,Boké,8.688756,-8.533823,2019-07-28,ACTIVE,T2
AGT-00100031,Station Cash Reubeuss,SUB_AGENT,FREE,SEN,Fatick,Fatick,12.968768,-14.137016,2024-03-23,ACTIVE,T2
AGT-00100032,Point Argent HLM,SUB_AGENT,OM,GIN,Conakry,Conakry,11.708111,-13.970004,2021-11-03,ACTIVE,T1
AGT-00100033,Mini-marché Patte d'Oie,SUB_AGENT,WAVE,GIN,Boké,Boké,12.218093,-7.914921,2020-01-26,ACTIVE,T1
AGT-00100034,Marché Bel Air,SUB_AGENT,FREE,GIN,Boké,Boké,9.995309,-11.515804,2021-11-18,ACTIVE,T2
AGT-00100035,Boutique Castors,SUB_AGENT,MTN_MOMO,CIV,Yamoussoukro,Yamoussoukro,5.60536,-3.601273,2020-12-24,ACTIVE,T2
AGT-00100036,Point Cash Wakhinane,SUB_AGENT,FREE,SEN,Kaolack,Kaolack,16.129747,-13.101231,2021-10-07,ACTIVE,T3
AGT-00100037,Tabaski Service Plateau,MERCHANT,FREE,GIN,Mamou,Mamou,11.26479,-14.142689,2024-01-25,ACTIVE,T1
AGT-00100038,Point Cash Almadies,SUB_AGENT,FREE,GIN,Conakry,Conakry,12.225185,-9.158065,2021-09-29,ACTIVE,T1
AGT-00100039,Point Cash Ngor,SUB_AGENT,MTN_MOMO,GIN,Faranah,Faranah,7.991957,-13.352823,2021-08-10,ACTIVE,T1
AGT-00100040,Express Castors,ATM_PARTNER,MOOV,MLI,Sikasso,Sikasso,11.287824,-4.521915,2019-12-12,ACTIVE,T3
AGT-00100041,SuperMoney Plateau,MASTER_AGENT,MTN_MOMO,CIV,Abidjan,Abidjan,7.724116,-5.785371,2019-05-23,SUSPENDED,T2
AGT-00100042,Boutique Médina,SUB_AGENT,WAVE,GIN,Faranah,Faranah,7.705223,-11.042722,2025-04-27,ACTIVE,T1
AGT-00100043,Point Cash Sicap,SUB_AGENT,OM,GIN,Faranah,Faranah,9.789295,-12.615321,2023-02-13,ACTIVE,T1
AGT-00100044,Kiosque Ngor,SUB_AGENT,FREE,CIV,Abidjan,Abidjan,7.162694,-3.887275,2019-03-21,ACTIVE,T1
AGT-00100045,Boutique Fass,SUB_AGENT,WAVE,GIN,Kankan,Kankan,11.515312,-12.819425,2022-04-27,ACTIVE,T1
AGT-00100046,Cash & Go Reubeuss,SUB_AGENT,OM,CIV,Yamoussoukro,Yamoussoukro,10.405035,-7.766999,2023-05-29,ACTIVE,T1
AGT-00100047,Agence Dieuppeul,SUB_AGENT,OM,GIN,Kindia,Kindia,7.231742,-13.544839,2023-12-11,ACTIVE,T3
AGT-00100048,Station Cash Yoff,MERCHANT,WAVE,SEN,Dakar,Dakar,15.833525,-14.069717,2019-09-04,ACTIVE,T1
AGT-00100049,Mini-marché Cambérène,MERCHANT,FREE,CIV,Man,Man,10.428915,-3.08726,2020-06-09,ACTIVE,T1
AGT-00100050,Express Tabaski,SUB_AGENT,MTN_MOMO,GIN,Labé,Labé,7.439826,-8.156537,2019-09-17,ACTIVE,T2
AGT-00100051,Boutique Mariste,SUB_AGENT,WAVE,GIN,Mamou,Mamou,8.455625,-12.091947,2025-06-27,ACTIVE,T1
AGT-00100052,Kiosque Mermoz,SUB_AGENT,MOOV,SEN,Saint-Louis,Saint-Louis,13.177199,-12.886433,2023-12-12,ACTIVE,T1
AGT-00100053,Cash Point Hann,MERCHANT,WAVE,SEN,Matam,Matam,15.92017,-14.6064,2022-03-23,ACTIVE,T1
AGT-00100054,Téléservices Sicap,SUB_AGENT,FREE,SEN,Thiès,Thiès,15.251672,-15.434478,2024-11-27,ACTIVE,T1
AGT-00100055,Tabaski Service Niary Tally,SUB_AGENT,WAVE,GIN,Kindia,Kindia,8.870567,-10.001582,2019-06-27,ACTIVE,T2
AGT-00100056,Point Cash Fass,MERCHANT,OM,SEN,Ziguinchor,Ziguinchor,14.895595,-16.019813,2024-01-21,ACTIVE,T1
AGT-00100057,Boutique Médina,SUB_AGENT,OM,GIN,Kindia,Kindia,8.910965,-11.982933,2020-11-09,ACTIVE,T3
AGT-00100058,Multiservices Gibraltar,MASTER_AGENT,OM,SEN,Louga,Louga,15.960567,-14.792565,2021-07-09,SUSPENDED,T1
AGT-00100059,Station Cash Ouakam,SUB_AGENT,MTN_MOMO,GIN,Nzérékoré,Nzérékoré,9.78225,-8.635963,2024-09-12,ACTIVE,T1
AGT-00100060,Agence Castors,SUB_AGENT,MTN_MOMO,SEN,Kaffrine,Kaffrine,15.346276,-15.514871,2023-04-06,ACTIVE,T2
AGT-00100061,Cash Point Reubeuss,SUB_AGENT,FREE,GIN,Labé,Labé,10.186109,-7.81623,2021-12-10,ACTIVE,T1
AGT-00100062,SuperMoney Fass,MERCHANT,MTN_MOMO,SEN,Dakar,Dakar,13.621317,-12.328872,2024-06-08,ACTIVE,T1
AGT-00100063,Boutique Fass,MERCHANT,OM,GIN,Nzérékoré,Nzérékoré,10.026112,-10.842896,2023-04-23,TERMINATED,T2
AGT-00100064,Mini-marché Dieuppeul,MERCHANT,MOOV,GIN,Nzérékoré,Nzérékoré,10.578483,-12.40873,2021-06-21,ACTIVE,T1
AGT-00100065,Point Argent Hann,SUB_AGENT,FREE,GIN,Faranah,Faranah,10.415316,-12.363912,2025-07-06,ACTIVE,T1
AGT-00100066,Point Cash Mariste,SUB_AGENT,FREE,GIN,Mamou,Mamou,8.242307,-14.770052,2024-09-13,ACTIVE,T1
AGT-00100067,Kiosque Patte d'Oie,SUB_AGENT,MTN_MOMO,GIN,Kindia,Kindia,12.136143,-14.284324,2022-01-03,ACTIVE,T1
AGT-00100068,Point Argent Hann,SUB_AGENT,OM,GIN,Labé,Labé,9.871421,-10.601102,2021-12-15,ACTIVE,T1
AGT-00100069,Agence Dieuppeul,MERCHANT,OM,MLI,Kayes,Kayes,12.006988,-11.958162,2025-02-19,ACTIVE,T1
AGT-00100070,Point Cash Patte d'Oie,SUB_AGENT,OM,GIN,Conakry,Conakry,7.577781,-9.72473,2021-01-28,ACTIVE,T3
AGT-00100071,Point Argent Reubeuss,SUB_AGENT,WAVE,SEN,Matam,Matam,15.714497,-14.848616,2023-04-20,ACTIVE,T2
AGT-00100072,Agence Guédiawaye,MERCHANT,OM,GIN,Nzérékoré,Nzérékoré,11.967121,-12.700263,2019-12-19,ACTIVE,T1
AGT-00100073,Téléservices Cambérène,SUB_AGENT,MOOV,SEN,Diourbel,Diourbel,15.549217,-12.198345,2019-03-21,ACTIVE,T1
AGT-00100074,Cash & Go Sandaga,SUB_AGENT,MTN_MOMO,GIN,Nzérékoré,Nzérékoré,7.210647,-13.534149,2022-04-09,ACTIVE,T3
AGT-00100075,Agence Colobane,SUB_AGENT,MTN_MOMO,SEN,Tambacounda,Tambacounda,14.978404,-13.378662,2021-01-04,ACTIVE,T1
AGT-00100076,Point Argent Tabaski,SUB_AGENT,FREE,SEN,Ziguinchor,Ziguinchor,15.536146,-12.666696,2025-09-22,ACTIVE,T1
AGT-00100077,Point Argent Sandaga,SUB_AGENT,MTN_MOMO,GIN,Conakry,Conakry,8.638945,-12.779761,2022-12-14,ACTIVE,T1
AGT-00100078,Marché Sicap,MERCHANT,WAVE,SEN,Dakar,Dakar,16.528403,-14.207811,2019-10-28,ACTIVE,T2
AGT-00100079,Kiosque Patte d'Oie,SUB_AGENT,OM,SEN,Kédougou,Kédougou,16.691932,-11.962219,2025-01-12,TERMINATED,T2
AGT-00100080,Cash & Go Ouakam,SUB_AGENT,OM,CIV,Bouaké,Bouaké,4.551051,-3.877491,2021-09-05,ACTIVE,T2
AGT-00100081,Point Cash Pikine,SUB_AGENT,OM,GIN,Kankan,Kankan,12.318872,-11.032273,2025-04-17,ACTIVE,T3
AGT-00100082,Mini-marché Colobane,SUB_AGENT,FREE,GIN,Mamou,Mamou,7.204602,-9.240818,2024-05-24,ACTIVE,T1
AGT-00100083,Kiosque Médina,SUB_AGENT,MOOV,CIV,San-Pédro,San-Pédro,9.206676,-4.361649,2024-09-06,ACTIVE,T1
AGT-00100084,Marché Tabaski,SUB_AGENT,OM,SEN,Kédougou,Kédougou,12.707939,-14.129999,2022-12-19,ACTIVE,T1
AGT-00100085,Kiosque Sicap,SUB_AGENT,MOOV,SEN,Thiès,Thiès,13.829973,-12.717756,2024-02-28,ACTIVE,T1
AGT-00100086,Téléservices Colobane,SUB_AGENT,MTN_MOMO,SEN,Matam,Matam,13.125725,-16.414309,2025-02-11,SUSPENDED,T1
AGT-00100087,Marché Almadies,MERCHANT,MTN_MOMO,GIN,Conakry,Conakry,8.444824,-12.957212,2025-06-16,SUSPENDED,T1
AGT-00100088,Multiservices Pikine,SUB_AGENT,OM,GIN,Labé,Labé,10.928269,-11.933615,2022-08-27,ACTIVE,T3
AGT-00100089,Point Argent Pikine,SUB_AGENT,OM,CIV,Abidjan,Abidjan,9.919588,-4.575012,2025-09-17,ACTIVE,T1
AGT-00100090,Téléservices HLM,ATM_PARTNER,MTN_MOMO,SEN,Thiès,Thiès,15.988359,-13.333626,2023-05-21,ACTIVE,T2
AGT-00100091,Agence Sicap,MASTER_AGENT,FREE,GIN,Mamou,Mamou,10.781276,-8.533782,2022-12-28,ACTIVE,T1
AGT-00100092,Multiservices Castors,SUB_AGENT,MOOV,CIV,Man,Man,9.98769,-3.776805,2025-04-02,ACTIVE,T1
AGT-00100093,Station Cash Sandaga,MERCHANT,FREE,SEN,Tambacounda,Tambacounda,16.093297,-11.659611,2023-02-11,ACTIVE,T2
AGT-00100094,Boutique Grand Yoff,SUB_AGENT,WAVE,SEN,Louga,Louga,15.556024,-14.282121,2021-06-04,SUSPENDED,T3
AGT-00100095,Express Reubeuss,SUB_AGENT,WAVE,SEN,Kaffrine,Kaffrine,15.604127,-15.754491,2019-08-08,ACTIVE,T1
AGT-00100096,SuperMoney Yoff,SUB_AGENT,MTN_MOMO,SEN,Kédougou,Kédougou,14.92581,-12.816745,2022-11-26,ACTIVE,T3
AGT-00100097,Cash & Go Plateau,SUB_AGENT,MTN_MOMO,SEN,Fatick,Fatick,13.479142,-17.016754,2023-04-24,SUSPENDED,T2
AGT-00100098,Cash & Go HLM,ATM_PARTNER,FREE,GIN,Conakry,Conakry,12.07074,-12.852735,2025-04-27,ACTIVE,T2
AGT-00100099,Cash Point Bel Air,SUB_AGENT,OM,GIN,Kankan,Kankan,11.296075,-11.899969,2022-09-12,ACTIVE,T1
AGT-00100100,SuperMoney Dieuppeul,MERCHANT,WAVE,CIV,Yamoussoukro,Yamoussoukro,10.379815,-6.908444,2025-09-08,ACTIVE,T3
AGT-00100101,Téléservices HLM,ATM_PARTNER,MTN_MOMO,GIN,Mamou,Mamou,11.328454,-7.639783,2019-09-05,ACTIVE,T2
AGT-00100102,SuperMoney Plateau,SUB_AGENT,WAVE,SEN,Tambacounda,Tambacounda,15.622859,-13.28971,2025-11-01,ACTIVE,T2
AGT-00100103,Mini-marché Guédiawaye,SUB_AGENT,OM,MLI,Koulikoro,Koulikoro,,,2024-08-16,ACTIVE,T1
AGT-00100104,Kiosque Ngor,ATM_PARTNER,MOOV,CIV,Bouaké,Bouaké,4.644381,-5.782137,2022-05-05,ACTIVE,T1
AGT-00100105,Agence Bel Air,ATM_PARTNER,MOOV,GIN,Kindia,Kindia,9.398877,-14.425647,2021-05-06,ACTIVE,T1
AGT-00100106,Kiosque Cambérène,MERCHANT,OM,SEN,Kaolack,Kaolack,12.51905,-15.63699,2025-10-19,SUSPENDED,T1
AGT-00100107,Agence Bel Air,SUB_AGENT,FREE,SEN,Thiès,Thiès,13.783714,-15.355991,2023-02-04,SUSPENDED,T1
AGT-00100108,Cash Point Touba,MERCHANT,FREE,MLI,Mopti,Mopti,20.996426,0.583263,2020-10-19,ACTIVE,T2
AGT-00100109,SuperMoney Mermoz,MERCHANT,MOOV,CIV,Daloa,Daloa,5.468183,-4.932127,2023-09-15,ACTIVE,T1
AGT-00100110,Multiservices Hann,SUB_AGENT,FREE,SEN,Kolda,Kolda,12.841219,-14.095898,2019-04-17,ACTIVE,T1
AGT-00100111,Mini-marché Tabaski,SUB_AGENT,MTN_MOMO,SEN,Louga,Louga,15.924428,-15.584429,2022-04-26,ACTIVE,T1
AGT-00100112,Téléservices Niary Tally,SUB_AGENT,MTN_MOMO,MLI,Bamako,Bamako,21.774357,-9.866914,2022-04-16,ACTIVE,T1
AGT-00100113,Multiservices HLM,SUB_AGENT,OM,GIN,Boké,Boké,12.616499,-9.941,2024-01-13,ACTIVE,T1
AGT-00100114,Point Cash Dieuppeul,SUB_AGENT,FREE,MLI,Mopti,Mopti,12.545275,-11.887398,2023-11-21,ACTIVE,T2
AGT-00100115,Express Fass,SUB_AGENT,WAVE,CIV,Daloa,Daloa,5.37498,-4.017598,2024-01-04,ACTIVE,T3
AGT-00100116,Agence Touba,MASTER_AGENT,OM,GIN,Faranah,Faranah,12.694517,-14.111366,2019-03-31,ACTIVE,T1
AGT-00100117,Tabaski Service Ouakam,SUB_AGENT,MTN_MOMO,SEN,Thiès,Thiès,15.910164,-16.076706,2024-03-26,ACTIVE,T1
AGT-00100118,Téléservices Colobane,SUB_AGENT,FREE,GIN,Labé,Labé,11.733547,-13.962419,2025-06-21,ACTIVE,T1
AGT-00100119,Multiservices Colobane,SUB_AGENT,MOOV,GIN,Kankan,Kankan,8.247137,-7.889292,2020-09-22,ACTIVE,T1
AGT-00100120,SuperMoney Sicap,SUB_AGENT,FREE,SEN,Sédhiou,Sédhiou,16.265779,-16.251943,2020-05-03,ACTIVE,T1
AGT-00100121,Kiosque Plateau,MERCHANT,MTN_MOMO,SEN,Dakar,Dakar,15.583129,-16.77301,2025-03-31,ACTIVE,T2
AGT-00100122,Tabaski Service Sicap,MERCHANT,OM,CIV,Daloa,Daloa,7.389605,-2.745144,2022-10-23,ACTIVE,T2
AGT-00100123,Boutique Wakhinane,SUB_AGENT,MTN_MOMO,SEN,Fatick,Fatick,14.747193,-15.020874,2024-08-28,ACTIVE,T1
AGT-00100124,Tabaski Service Colobane,MASTER_AGENT,OM,SEN,Kaolack,Kaolack,13.078605,-17.489311,2024-01-24,ACTIVE,T3
AGT-00100125,Point Cash Bel Air,SUB_AGENT,MTN_MOMO,SEN,Fatick,Fatick,13.402759,-16.787476,2023-06-21,ACTIVE,T1
AGT-00100126,Cash Point Yoff,SUB_AGENT,WAVE,CIV,Man,Man,8.410376,-3.543164,2024-05-11,ACTIVE,T3
AGT-00100127,Point Argent Sicap,MERCHANT,WAVE,SEN,Kaolack,Kaolack,16.19798,-13.278536,2019-11-14,ACTIVE,T1
AGT-00100128,Tabaski Service Pikine,SUB_AGENT,OM,SEN,Ziguinchor,Ziguinchor,16.009618,-14.330374,2024-02-18,ACTIVE,T2
AGT-00100129,Point Argent Reubeuss,MERCHANT,OM,GIN,Boké,Boké,10.654357,-11.372322,2020-11-07,ACTIVE,T1
AGT-00100130,SuperMoney Liberté,SUB_AGENT,FREE,CIV,Abidjan,Abidjan,8.963117,-4.529629,2022-08-25,ACTIVE,T1
AGT-00100131,Marché Touba,SUB_AGENT,MOOV,GIN,Kankan,Kankan,11.0277,-13.310752,2023-12-21,ACTIVE,T2
AGT-00100132,Express Pikine,SUB_AGENT,OM,GIN,Kankan,Kankan,11.758139,-12.741861,2023-02-07,ACTIVE,T1
AGT-00100133,Agence Mariste,SUB_AGENT,WAVE,GIN,Boké,Boké,10.928548,-14.969458,2020-03-10,ACTIVE,T1
AGT-00100134,Téléservices Touba,SUB_AGENT,MTN_MOMO,SEN,Fatick,Fatick,13.069748,-13.465367,2019-06-02,ACTIVE,T2
AGT-00100135,SuperMoney Patte d'Oie,SUB_AGENT,MOOV,SEN,Louga,Louga,15.494445,-11.425399,2024-11-05,ACTIVE,T1
AGT-00100136,Mini-marché Patte d'Oie,MASTER_AGENT,MOOV,GIN,Mamou,Mamou,8.168363,-11.230217,2025-09-12,ACTIVE,T1
AGT-00100137,SuperMoney Médina,SUB_AGENT,FREE,SEN,Matam,Matam,13.674943,-11.465818,2025-04-07,ACTIVE,T2
AGT-00100138,Kiosque HLM,MASTER_AGENT,MTN_MOMO,CIV,Man,Man,7.342124,-5.865802,2021-07-10,ACTIVE,T1
AGT-00100139,Tabaski Service Ngor,SUB_AGENT,FREE,SEN,Kaffrine,Kaffrine,14.92311,-16.983444,2021-08-30,ACTIVE,T1
AGT-00100140,Mini-marché Ouakam,MERCHANT,MTN_MOMO,MLI,Sikasso,Sikasso,23.698814,-5.757507,2021-11-26,ACTIVE,T1
AGT-00100141,Kiosque Dieuppeul,SUB_AGENT,MOOV,MLI,Bamako,Bamako,11.204545,-0.193365,2020-02-13,ACTIVE,T1
AGT-00100142,Multiservices Mariste,SUB_AGENT,WAVE,MLI,Mopti,Mopti,12.801808,0.477356,2019-07-02,ACTIVE,T3
AGT-00100143,Mini-marché Médina,MERCHANT,OM,SEN,Kolda,Kolda,15.027519,-16.588458,2020-05-02,ACTIVE,T1
AGT-00100144,Kiosque Cambérène,SUB_AGENT,FREE,MLI,Kayes,Kayes,16.927856,-5.590315,2024-02-25,ACTIVE,T2
AGT-00100145,Cash & Go Tabaski,MASTER_AGENT,MTN_MOMO,CIV,Yamoussoukro,Yamoussoukro,6.244764,-4.828584,2021-03-26,ACTIVE,T3
AGT-00100146,Station Cash Guédiawaye,MERCHANT,MTN_MOMO,GIN,Nzérékoré,Nzérékoré,7.452952,-11.608126,2019-12-29,ACTIVE,T3
AGT-00100147,Point Argent Yoff,SUB_AGENT,OM,GIN,Kindia,Kindia,11.597905,-12.240718,2025-07-06,ACTIVE,T2
AGT-00100148,Multiservices Bel Air,SUB_AGENT,MOOV,CIV,Daloa,Daloa,9.621618,-3.829972,2021-02-12,ACTIVE,T3
AGT-00100149,Tabaski Service Sicap,MERCHANT,OM,SEN,Matam,Matam,15.433682,-11.732472,2022-05-18,ACTIVE,T1
AGT-00100150,Mini-marché Fass,SUB_AGENT,FREE,MLI,Sikasso,Sikasso,18.923228,-10.076723,2023-11-30,ACTIVE,T1
AGT-00100151,Point Cash Mariste,MERCHANT,MOOV,CIV,Man,Man,9.703544,-5.19948,2025-03-05,ACTIVE,T2
AGT-00100152,Point Cash Pikine,SUB_AGENT,OM,SEN,Sédhiou,Sédhiou,15.055241,-16.185486,2019-06-28,ACTIVE,T1
AGT-00100153,Marché Cambérène,MERCHANT,OM,CIV,Korhogo,Korhogo,6.217756,-6.888136,2020-02-20,ACTIVE,T1
AGT-00100154,Agence Fass,SUB_AGENT,MOOV,MLI,Bamako,Bamako,17.402665,-6.427248,2024-04-17,ACTIVE,T1
AGT-00100155,Point Argent Cambérène,ATM_PARTNER,FREE,SEN,Thiès,Thiès,15.402685,-15.903612,2021-05-13,ACTIVE,T1
AGT-00100156,Station Cash Gibraltar,SUB_AGENT,OM,CIV,Korhogo,Korhogo,7.010718,-6.185323,2024-06-26,ACTIVE,T2
AGT-00100157,Tabaski Service Plateau,SUB_AGENT,FREE,SEN,Matam,Matam,15.350641,-14.499664,2020-11-12,ACTIVE,T2
AGT-00100158,Mini-marché Niary Tally,SUB_AGENT,MOOV,CIV,Daloa,Daloa,7.786912,-6.650092,2022-10-17,ACTIVE,T1
AGT-00100159,Express Colobane,MASTER_AGENT,WAVE,SEN,Kolda,Kolda,16.313587,-14.901166,2021-02-03,SUSPENDED,T1
AGT-00100160,Cash & Go Hann,SUB_AGENT,MOOV,SEN,Kolda,Kolda,13.51367,-15.040741,2020-02-09,ACTIVE,T1
AGT-00100161,Multiservices Almadies,MERCHANT,FREE,CIV,Korhogo,Korhogo,5.316044,-4.360638,2021-05-11,ACTIVE,T1
AGT-00100162,Cash & Go Cambérène,SUB_AGENT,OM,SEN,Saint-Louis,Saint-Louis,13.782656,-13.418557,2019-08-21,ACTIVE,T1
AGT-00100163,Point Argent Reubeuss,MERCHANT,FREE,SEN,Sédhiou,Sédhiou,14.652313,-12.432345,2020-02-01,ACTIVE,T1
AGT-00100164,SuperMoney Ngor,SUB_AGENT,FREE,GIN,Kindia,Kindia,11.978668,-10.207781,2022-01-14,ACTIVE,T1
AGT-00100165,Kiosque Cambérène,MERCHANT,MTN_MOMO,SEN,Kolda,Kolda,15.495979,-13.446137,2021-03-25,ACTIVE,T1
AGT-00100166,Multiservices Yoff,SUB_AGENT,MOOV,CIV,Yamoussoukro,Yamoussoukro,5.579804,-3.836434,2020-09-24,ACTIVE,T1
AGT-00100167,Express Colobane,MASTER_AGENT,WAVE,GIN,Kankan,Kankan,8.299167,-14.903248,2020-11-14,ACTIVE,T1
AGT-00100168,Boutique Guédiawaye,SUB_AGENT,MTN_MOMO,SEN,Louga,Louga,12.486738,-12.527613,2022-01-19,ACTIVE,T1
AGT-00100169,Agence Hann,SUB_AGENT,OM,GIN,Kindia,Kindia,10.367785,-8.195501,2019-11-20,ACTIVE,T1
AGT-00100170,Multiservices Castors,ATM_PARTNER,MTN_MOMO,MLI,Sikasso,Sikasso,13.994057,-6.995945,2022-03-15,ACTIVE,T1
AGT-00100171,Téléservices Niary Tally,MERCHANT,WAVE,GIN,Kankan,Kankan,11.524916,-7.693498,2022-05-26,TERMINATED,T1
AGT-00100172,Marché HLM,SUB_AGENT,WAVE,SEN,Sédhiou,Sédhiou,16.639449,-12.818596,2020-05-14,ACTIVE,T1
AGT-00100173,Cash & Go Hann,MERCHANT,MTN_MOMO,CIV,Yamoussoukro,Yamoussoukro,6.26337,-3.555084,2021-03-05,ACTIVE,T1
AGT-00100174,Express Sandaga,MERCHANT,WAVE,SEN,Kédougou,Kédougou,13.166177,-13.983686,2020-02-06,SUSPENDED,T1
AGT-00100175,Téléservices Dieuppeul,SUB_AGENT,MTN_MOMO,GIN,Faranah,Faranah,11.34453,-12.837852,2022-03-07,SUSPENDED,T1
AGT-00100176,Marché Médina,MERCHANT,FREE,SEN,Thiès,Thiès,12.958577,-12.581538,2024-03-28,ACTIVE,T2
AGT-00100177,Tabaski Service Niary Tally,MERCHANT,FREE,SEN,Saint-Louis,Saint-Louis,16.626175,-15.429958,2025-03-05,ACTIVE,T2
AGT-00100178,Cash & Go Almadies,MERCHANT,MTN_MOMO,SEN,Saint-Louis,Saint-Louis,13.857351,-13.959829,2022-03-19,ACTIVE,T3
AGT-00100179,Cash & Go Tabaski,SUB_AGENT,WAVE,GIN,Conakry,Conakry,9.692138,-12.690306,2021-09-30,TERMINATED,T1
AGT-00100180,Express Hann,SUB_AGENT,WAVE,SEN,Kaolack,Kaolack,14.599338,-16.091503,2023-12-07,ACTIVE,T2
AGT-00100181,Cash Point Gibraltar,SUB_AGENT,OM,SEN,Fatick,Fatick,13.337837,-12.601604,2022-01-08,ACTIVE,T1
AGT-00100182,Point Cash Reubeuss,SUB_AGENT,FREE,CIV,Abidjan,Abidjan,7.179464,-6.549732,2022-05-07,ACTIVE,T1
AGT-00100183,Mini-marché Pikine,SUB_AGENT,FREE,SEN,Diourbel,Diourbel,14.944739,-12.002789,2021-10-17,ACTIVE,T1
